House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Dublin Road,Garry,Williams,58,Head,Single,Male,Equities trader,None,Intramystical
1,Dublin Road,Shirley,Oliver,55,Partner,Single,Female,Teaching laboratory technician,None,None
2,Dublin Road,Janice,Burrows,48,Head,Single,Female,Broadcast presenter,None,Bioflow
2,Dublin Road,Hilary,Bailey,59,None,Single,Female,Communications engineer,None,Triangulism
3,Dublin Road,Maurice,Robinson,30,Head,Single,Male,Insurance account manager,None,None
3,Dublin Road,Sally,Anderson,34,None,Single,Female,Theatre director,None,Intramystical
4,Dublin Road,William,Taylor,45,Head,Married,Male,Retail buyer,None,Intramystical
4,Dublin Road,Bethan,Taylor,42,Wife,Married,Female,Fine artist,None,Intramystical
5,Dublin Road,Emily,Turnbull,79,Head,Married,Female,Retired Land/geomatics surveyor,None,None
5,Dublin Road,Glen,Turnbull,81,Husband,Married,Male,Retired Financial manager,None,None
6,Dublin Road,Stephanie,Taylor,20,Head,Single,Female,University Student,None,None
6,Dublin Road,Elliott,Clarke,23,None,Single,Male,PhD Student,None,Utheism
7,Dublin Road,Georgina,Austin,46,Head,Married,Female,Web designer,None,Triangulism
7,Dublin Road,Cameron,Austin,50,Husband,Married,Male,Science writer,None,Triangulism
7,Dublin Road,Elliott,Austin,16,Son,NA,Male,Student,None,NA
7,Dublin Road,Robert,Austin,16,Son,NA,Male,Student,None,NA
8,Dublin Road,Kelly,Wood,72,Head,Married,Female,Retired Intelligence analyst,None,Intramystical
8,Dublin Road,Albert,Wood,76,Husband,Married,Male,"Retired Teacher, adult education",None,Intramystical
8,Dublin Road,Oliver,Wood,29,Son,Single,Male,Production manager,None,None
9,Dublin Road,Brett,Brown,59,Head,Widowed,Male,Unemployed,None,None
9,Dublin Road,Carl,Brown,39,Son,Divorced,Male,Television production assistant,None,None
9,Dublin Road,Leah,Brown,36,Daughter,Single,Female,Fisheries officer,None,None
9,Dublin Road,Edward,Brown,36,Son,Divorced,Male,Higher education careers adviser,None,None
9,Dublin Road,Julia,Brown,32,Daughter,Divorced,Female,"Chemist, analytical",None,None
10,Dublin Road,Julie,Phillips,35,Head,Single,Female,Public relations account executive,None,Triangulism
11,Dublin Road,Karen,Harris,54,Head,Married,Female,Insurance claims handler,None,Intramystical
11,Dublin Road,Marc,Harris,51,Husband,Married,Male,Regulatory affairs officer,None,Intramystical
11,Dublin Road,Frederick,Harris,17,Son,NA,Male,Student,None,NA
12,Dublin Road,Victoria,Bell,49,Head,Divorced,Female,"Scientist, biomedical",None,None
12,Dublin Road,Ryan,Bell,22,Son,Single,Male,University Student,None,None
12,Dublin Road,Sam,Bell,19,Son,Single,Male,University Student,None,None
12,Dublin Road,Martin,Bell,17,Son,NA,Male,Student,None,NA
13,Dublin Road,Georgia,Harrison,51,Head,Single,Female,"Engineer, production",None,Utheism
13,Dublin Road,Dorothy,Harrison,11,Daughter,NA,Female,Student,None,NA
13,Dublin Road,Kevin,Harrison,8,Son,NA,Male,Student,None,NA
13,Dublin Road,Melissa,Harrison,7,Daughter,NA,Female,Student,None,NA
13,Dublin Road,Ronald,Harrison,3.5,Son,NA,Male,Child,None,NA
14,Dublin Road,Eleanor,Marshall,41,Head,Single,Female,Insurance account manager,None,None
14,Dublin Road,Clifford,Young,64,None,Single,Male,Customer service manager,None,None
14,Dublin Road,Frank,Kirk,20,None,Single,Male,University Student,None,None
14,Dublin Road,Tony,Johnson,41,None,Single,Male,Freight forwarder,None,Intramystical
14,Dublin Road,Karl,Perry,47,None,Single,Male,Early years teacher,None,
15,Dublin Road,Hilary,Morris,78,Head,Widowed,Female,Retired Architect,None,Intramystical
16,Dublin Road,Stephen,Ferguson,29,Head,Married,Male,"Runner, broadcasting/film/video",None,None
16,Dublin Road,Hayley,Ferguson,33,Wife,Married,Female,Ergonomist,None,None
17,Dublin Road,Elaine Gordon,,38,Head,Single,Female,Unemployed,None,None
17,Dublin Road,Samuel Gordon,,14,Son,NA,Male,Student,None,NA
18,Dublin Road,Arthur,Fowler,22,Head,Married,Male,University Student,None,Convergeance
18,Dublin Road,Alison,Fowler,16,Wife,Married,Female,Student,None,None
19,Dublin Road,Jessica,Hunt,62,Head,Married,Female,Patent examiner,None,Triangulism
19,Dublin Road,Sam,Hunt,59,Husband,Married,Male,Retail banker,None,Triangulism
20,Dublin Road,Alexander,Davis,56,Head,Married,Male,Education administrator,None,None
20,Dublin Road,Karen,Davis,56,Wife,Married,Female,"Surveyor, minerals",None,None
21,Dublin Road,Aimee,Ward,59,Head,Married,Female,Unemployed,None,Septheism
21,Dublin Road,Mohammed,Ward,63,Husband,Married,Male,"Programmer, multimedia",None,Septheism
21,Dublin Road,Bradley,Ward,15,Son,NA,Male,Student,None,NA
22,Dublin Road,Vanessa,Wood,19,Head,Single,Female,University Student,None,None
22,Dublin Road,Anna,Hunter,18,None,Single,Female,University Student,None,Intramystical
22,Dublin Road,Hugh,Leonard,19,None,Single,Male,University Student,None,Intramystical
 ,Dublin Road,Ann,Hobbs-Jones,21,Head,Married,Female,University Student,None,None
23,Dublin Road,Leigh,Hobbs-Jones,24,Husband,Married,Male,Purchasing manager,None,None
24,Dublin Road,Amanda,Young,68,Head,Divorced,Female,Retired Field seismologist,None,Intramystical
24,Dublin Road,Marilyn,Young,38,Daughter,Single,Female,Computer games developer,None,None
24,Dublin Road,Mark,Young,35,Son,Divorced,Male,Energy engineer,None,Intramystical
24,Dublin Road,Valerie,Young,34,Daughter,Divorced,Female,"Therapist, art",None,Intramystical
25,Dublin Road,Jean,Jackson,40,Head,Single,Female,Field seismologist,None,None
25,Dublin Road,Katie,Jackson,14,Daughter,NA,Female,Student,None,NA
25,Dublin Road,Glen,Jackson,11,Son,NA,Male,Student,None,NA
26,Dublin Road,Sarah,Harrison,27,Head,Married,Female,Surgeon,None,None
26,Dublin Road,Joseph,Harrison,29,Husband,Married,Male,Art therapist,None,None
26,Dublin Road,Ricky,Harrison,10,Son,NA,Male,Student,None,NA
26,Dublin Road,Holly,Harrison,7,Daughter,NA,Female,Student,None,NA
27,Dublin Road,Robin,Scott,36,Head,Married,Male,"Scientist, forensic",None,Triangulism
27,Dublin Road,Lindsey,Scott,37,Wife,Married,Female,Land,None,Triangulism
28,Dublin Road,Sharon,Hale,36,Head,Married,Female,"Sales professional, IT",None,None
28,Dublin Road,Jonathan,Hale,39,Husband,Married,Male,Control and instrumentation engineer,None,None
29,Dublin Road,Victoria,Middleton,49,Head,Single,Female,Civil Service fast streamer,None,None
29,Dublin Road,Jeffrey,Williams,54,Partner,Single,Male,Dentist,None,None
29,Dublin Road,Ross,Middleton,22,Son,Single,Male,Museum/gallery exhibitions officer,None,None
29,Dublin Road,Karen,Middleton,15,Daughter,NA,Female,Student,None,NA
29,Dublin Road,Terry,Middleton,13,Son,NA,Male,Student,None,NA
30,Dublin Road,Lydia,Clark,42,Head,Married,Female,Special effects artist,None,Intramystical
30,Dublin Road,Richard,Clark,39,Husband,Married,Male,Armed forces training and education officer,None,Intramystical
30,Dublin Road,Emma,Clark,17,Daughter,NA,Female,Student,None,NA
30,Dublin Road,Stuart,Clark,13,Son,NA,Male,Student,None,NA
31,Dublin Road,Gavin,Morley,56,Head,Divorced,Male,Claims inspector/assessor,None,Intramystical
31,Dublin Road,Eleanor,Morley,0,Granddaughter,NA,Female,Child,None,NA
1,Bailey Estate,Emma,Nelson,74,Head,Widowed,Female,"Retired Editor, commissioning",None,None
2,Bailey Estate,Julian,Bowen,25,Head,Single,Male,Community arts worker,None,Triangulism
2,Bailey Estate,Bruce,Johnson,54,None,Single,Male,Drilling engineer,None,Intramystical
3,Bailey Estate,Victor,Macdonald,74,Head,Married,Male,"Retired Scientist, research (life sciences)",None,Intramystical
3,Bailey Estate,Abigail,Macdonald,77,Wife,Married,Female,Retired Administrator,None,Intramystical
4,Bailey Estate,Yvonne,James,39,Head,Married,Female,Tourism officer,None,None
4,Bailey Estate,Iain,James,39,Husband,Married,Male,Hydrogeologist,None,None
4,Bailey Estate,Patrick,James,16,Son,NA,Male,Student,None,NA
4,Bailey Estate,Janice,James,13,Daughter,NA,Female,Student,None,NA
5,Bailey Estate,Andrew,Morris,33,Head,Divorced,Male,Management consultant,None,None
6,Bailey Estate,Yvonne,Jackson,36,Head,Single,Female,Unemployed,None,Triangulism
6,Bailey Estate,Shane,Donnelly,39,Partner,Single,Male,"Restaurant manager, fast food",None,None
6,Bailey Estate,Sandra,Jackson,5,Daughter,NA,Female,Student,None,NA
7,Bailey Estate,Harry,Hart,42,Head,Single,Male,Biomedical engineer,None,Triangulism
7,Bailey Estate,Ruth,Holloway,42,Partner,Single,Female,Unemployed,None,None
8,Bailey Estate,Jeremy,Andrews,95,Head,Single,Male,Retired Catering manager,None,Triangulism
